# These isoelasticity lines were interpolated from a volume-deformation
# look-up table which was extracted from FEM data and complemented with
# analytical data (https://doi.org/10.6084/m9.figshare.12155064.v4 with
# scripts/fem2iso_volume.py). An equivalent channel radius for a square
# channel (factor of 1.094) is used in the 2D axis-symmetric model (see
# also supplement S3 in https://doi.org/10.1016/j.bpj.2015.09.006). The
# improved look-up table (with polynomial extrapolation of isoelastics)
# as introduced in dclab 0.46.0 was used here.
#
# BEGIN METADATA
# {
#   "authors": "D. Mokbel, M. Mokbel, L.D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "commit_hash": "43f37eaa",
#   "date": "2019-11-13",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_viscosity": 15.0,
#   "fluid_viscosity_unit": "mPa s",
#   "lut identifier": "LE-2D-FEM-19",
#   "method": "FEM",
#   "model": "linear elastic",
#   "publication": "https://doi.org/10.1021/acsbiomaterials.6b00558",
#   "software": "custom C++ code",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "2D-axis-symmetric FEM simulation with a linear elastic model"
# }
# END METADATA
#
# volume [um^3]	deform	emodulus [kPa]
4.07467e+02	1.23180e-01	1.06000e+00
4.08945e+02	1.23936e-01	1.06000e+00
4.10319e+02	1.24692e-01	1.06000e+00
4.11516e+02	1.25448e-01	1.06000e+00
4.12964e+02	1.26204e-01	1.06000e+00
4.14372e+02	1.26960e-01	1.06000e+00
4.15482e+02	1.27716e-01	1.06000e+00
4.16888e+02	1.28472e-01	1.06000e+00
4.18305e+02	1.29228e-01	1.06000e+00
4.19365e+02	1.29984e-01	1.06000e+00
4.20724e+02	1.30740e-01	1.06000e+00
4.22111e+02	1.31496e-01	1.06000e+00
4.23268e+02	1.32252e-01	1.06000e+00
4.24475e+02	1.33008e-01	1.06000e+00
4.25833e+02	1.33764e-01	1.06000e+00
4.27116e+02	1.34520e-01	1.06000e+00
4.28157e+02	1.35276e-01	1.06000e+00
4.29474e+02	1.36032e-01	1.06000e+00
4.30804e+02	1.36788e-01	1.06000e+00
4.32113e+02	1.37544e-01	1.06000e+00
1.61559e+02	2.60143e-02	1.34000e+00
1.71459e+02	2.71728e-02	1.34000e+00
1.78099e+02	2.79287e-02	1.34000e+00
1.84113e+02	2.86847e-02	1.34000e+00
1.90464e+02	2.94407e-02	1.34000e+00
1.96336e+02	3.01966e-02	1.34000e+00
2.02278e+02	3.09526e-02	1.34000e+00
2.08570e+02	3.17085e-02	1.34000e+00
2.14860e+02	3.24645e-02	1.34000e+00
2.21178e+02	3.32205e-02	1.34000e+00
2.27339e+02	3.39764e-02	1.34000e+00
2.33992e+02	3.47324e-02	1.34000e+00
2.40252e+02	3.54884e-02	1.34000e+00
2.46088e+02	3.62443e-02	1.34000e+00
2.52365e+02	3.70003e-02	1.34000e+00
2.58749e+02	3.77563e-02	1.34000e+00
2.64138e+02	3.85122e-02	1.34000e+00
2.69985e+02	3.92682e-02	1.34000e+00
2.76127e+02	4.00242e-02	1.34000e+00
2.82024e+02	4.07801e-02	1.34000e+00
2.87968e+02	4.15361e-02	1.34000e+00
2.93939e+02	4.22921e-02	1.34000e+00
2.99834e+02	4.30480e-02	1.34000e+00
3.05657e+02	4.38040e-02	1.34000e+00
3.11294e+02	4.45599e-02	1.34000e+00
3.17146e+02	4.53159e-02	1.34000e+00
3.22813e+02	4.60719e-02	1.34000e+00
3.28492e+02	4.68278e-02	1.34000e+00
3.34218e+02	4.75838e-02	1.34000e+00
3.40035e+02	4.83398e-02	1.34000e+00
3.45606e+02	4.90957e-02	1.34000e+00
3.51079e+02	4.98517e-02	1.34000e+00
3.56620e+02	5.06077e-02	1.34000e+00
3.62306e+02	5.13636e-02	1.34000e+00
3.67773e+02	5.21196e-02	1.34000e+00
3.72586e+02	5.28756e-02	1.34000e+00
3.77505e+02	5.36315e-02	1.34000e+00
3.82860e+02	5.43875e-02	1.34000e+00
3.88246e+02	5.51434e-02	1.34000e+00
3.93268e+02	5.58994e-02	1.34000e+00
3.98683e+02	5.66554e-02	1.34000e+00
4.04139e+02	5.74113e-02	1.34000e+00
4.09337e+02	5.81673e-02	1.34000e+00
4.14024e+02	5.89233e-02	1.34000e+00
4.18847e+02	5.96792e-02	1.34000e+00
4.23932e+02	6.04352e-02	1.34000e+00
4.28825e+02	6.11912e-02	1.34000e+00
4.33480e+02	6.19471e-02	1.34000e+00
4.38295e+02	6.27031e-02	1.34000e+00
4.43325e+02	6.34591e-02	1.34000e+00
4.48288e+02	6.42150e-02	1.34000e+00
4.53223e+02	6.49710e-02	1.34000e+00
4.57770e+02	6.57270e-02	1.34000e+00
4.62293e+02	6.64829e-02	1.34000e+00
