# These isoelasticity lines were extracted from FEM simulations conducted
# by Lucas Wittwer. See http://dx.doi.org/10.1021/acsbiomaterials.6b00558
# and http://arxiv.org/abs/2208.12552 for more information.
#
# BEGIN METADATA
# {
#   "authors": "L. D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "date": "2022-08-26",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_consistency_coefficient": 0.4057,
#   "fluid_consistency_coefficient_unit": "Pa s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_flow_behaviour_index": 0.6039,
#   "fluid_flow_behaviour_index_unit": "",
#   "fluid_viscosity": 6.0,
#   "fluid_viscosity_unit": "mPa s",
#   "lut identifier": "HE-2D-FEM-22",
#   "method": "FEM",
#   "model": "hyper-elastic solid / non-Newtonian fluid",
#   "software": "COMSOL 5.5",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "2D-axis-symmetric FEM simulation with a hyper-elastic elasticity model and non-Newtonian fluid"
# }
# END METADATA
#
# volume [um^3]	deform	emodulus [kPa]
3.72365e+02	7.09099e-02	5.50000e-01
3.73980e+02	7.13217e-02	5.50000e-01
3.75526e+02	7.17334e-02	5.50000e-01
3.76975e+02	7.21452e-02	5.50000e-01
3.78420e+02	7.25569e-02	5.50000e-01
3.79630e+02	7.29687e-02	5.50000e-01
3.81537e+02	7.33804e-02	5.50000e-01
3.82822e+02	7.37922e-02	5.50000e-01
3.84544e+02	7.42039e-02	5.50000e-01
3.86132e+02	7.46157e-02	5.50000e-01
3.87567e+02	7.50274e-02	5.50000e-01
3.88802e+02	7.54392e-02	5.50000e-01
3.89996e+02	7.58509e-02	5.50000e-01
3.91168e+02	7.62627e-02	5.50000e-01
3.92856e+02	7.66745e-02	5.50000e-01
3.94246e+02	7.70862e-02	5.50000e-01
3.96032e+02	7.74980e-02	5.50000e-01
3.97505e+02	7.79097e-02	5.50000e-01
3.99207e+02	7.83215e-02	5.50000e-01
4.00372e+02	7.87332e-02	5.50000e-01
4.01296e+02	7.91450e-02	5.50000e-01
4.02220e+02	7.95567e-02	5.50000e-01
4.03181e+02	7.99685e-02	5.50000e-01
4.04449e+02	8.03802e-02	5.50000e-01
4.06107e+02	8.07920e-02	5.50000e-01
4.07960e+02	8.12037e-02	5.50000e-01
4.08950e+02	8.16155e-02	5.50000e-01
4.10282e+02	8.20273e-02	5.50000e-01
4.12078e+02	8.24390e-02	5.50000e-01
4.13126e+02	8.28508e-02	5.50000e-01
4.14173e+02	8.32625e-02	5.50000e-01
4.15231e+02	8.36743e-02	5.50000e-01
4.16188e+02	8.40860e-02	5.50000e-01
4.17176e+02	8.44978e-02	5.50000e-01
4.18444e+02	8.49095e-02	5.50000e-01
4.19981e+02	8.53213e-02	5.50000e-01
4.21135e+02	8.57330e-02	5.50000e-01
4.22492e+02	8.61448e-02	5.50000e-01
4.23668e+02	8.65565e-02	5.50000e-01
4.24557e+02	8.69683e-02	5.50000e-01
4.25446e+02	8.73801e-02	5.50000e-01
4.26363e+02	8.77918e-02	5.50000e-01
4.27456e+02	8.82036e-02	5.50000e-01
4.28341e+02	8.86153e-02	5.50000e-01
4.29336e+02	8.90271e-02	5.50000e-01
4.30506e+02	8.94388e-02	5.50000e-01
4.31532e+02	8.98506e-02	5.50000e-01
4.32532e+02	9.02623e-02	5.50000e-01
4.33556e+02	9.06741e-02	5.50000e-01
4.34304e+02	9.10858e-02	5.50000e-01
4.35500e+02	9.14976e-02	5.50000e-01
4.39350e+02	9.19093e-02	5.50000e-01
4.50191e+02	9.22405e-02	5.50000e-01
1.37192e+02	1.66692e-02	6.70000e-01
1.44970e+02	1.73819e-02	6.70000e-01
1.49337e+02	1.77937e-02	6.70000e-01
1.53817e+02	1.82054e-02	6.70000e-01
1.58326e+02	1.86172e-02	6.70000e-01
1.62837e+02	1.90289e-02	6.70000e-01
1.67329e+02	1.94407e-02	6.70000e-01
1.71932e+02	1.98524e-02	6.70000e-01
1.76366e+02	2.02642e-02	6.70000e-01
1.80888e+02	2.06759e-02	6.70000e-01
1.85442e+02	2.10877e-02	6.70000e-01
1.89978e+02	2.14994e-02	6.70000e-01
1.94456e+02	2.19112e-02	6.70000e-01
1.99190e+02	2.23230e-02	6.70000e-01
2.03670e+02	2.27347e-02	6.70000e-01
2.08229e+02	2.31465e-02	6.70000e-01
2.12802e+02	2.35582e-02	6.70000e-01
2.17278e+02	2.39700e-02	6.70000e-01
2.21865e+02	2.43817e-02	6.70000e-01
2.26344e+02	2.47935e-02	6.70000e-01
2.30837e+02	2.52052e-02	6.70000e-01
2.35337e+02	2.56170e-02	6.70000e-01
2.39900e+02	2.60287e-02	6.70000e-01
2.44448e+02	2.64405e-02	6.70000e-01
2.48907e+02	2.68522e-02	6.70000e-01
2.53489e+02	2.72640e-02	6.70000e-01
2.57970e+02	2.76758e-02	6.70000e-01
2.62549e+02	2.80875e-02	6.70000e-01
2.67019e+02	2.84993e-02	6.70000e-01
2.71529e+02	2.89110e-02	6.70000e-01
2.76124e+02	2.93228e-02	6.70000e-01
2.80640e+02	2.97345e-02	6.70000e-01
2.85229e+02	3.01463e-02	6.70000e-01
2.89644e+02	3.05580e-02	6.70000e-01
2.94136e+02	3.09698e-02	6.70000e-01
2.98550e+02	3.13815e-02	6.70000e-01
3.03006e+02	3.17933e-02	6.70000e-01
3.07499e+02	3.22050e-02	6.70000e-01
3.11869e+02	3.26168e-02	6.70000e-01
3.16364e+02	3.30286e-02	6.70000e-01
3.20810e+02	3.34403e-02	6.70000e-01
3.25248e+02	3.38521e-02	6.70000e-01
3.29679e+02	3.42638e-02	6.70000e-01
3.34096e+02	3.46756e-02	6.70000e-01
3.38484e+02	3.50873e-02	6.70000e-01
3.42850e+02	3.54991e-02	6.70000e-01
3.47328e+02	3.59108e-02	6.70000e-01
3.51771e+02	3.63226e-02	6.70000e-01
3.56177e+02	3.67343e-02	6.70000e-01
3.60581e+02	3.71461e-02	6.70000e-01
3.64936e+02	3.75578e-02	6.70000e-01
3.69224e+02	3.79696e-02	6.70000e-01
3.73468e+02	3.83813e-02	6.70000e-01
3.77801e+02	3.87931e-02	6.70000e-01
3.81944e+02	3.92049e-02	6.70000e-01
3.86091e+02	3.96166e-02	6.70000e-01
3.90471e+02	4.00284e-02	6.70000e-01
3.94649e+02	4.04401e-02	6.70000e-01
3.98917e+02	4.08519e-02	6.70000e-01
4.03389e+02	4.12636e-02	6.70000e-01
4.07554e+02	4.16754e-02	6.70000e-01
4.11692e+02	4.20871e-02	6.70000e-01
4.16018e+02	4.24989e-02	6.70000e-01
4.20338e+02	4.29106e-02	6.70000e-01
4.24768e+02	4.33224e-02	6.70000e-01
4.28879e+02	4.37341e-02	6.70000e-01
4.32802e+02	4.41459e-02	6.70000e-01
4.36823e+02	4.45577e-02	6.70000e-01
4.41149e+02	4.49694e-02	6.70000e-01
4.45483e+02	4.53812e-02	6.70000e-01
4.49513e+02	4.57929e-02	6.70000e-01
4.53309e+02	4.62047e-02	6.70000e-01
4.57446e+02	4.66164e-02	6.70000e-01
4.61748e+02	4.70282e-02	6.70000e-01
4.65817e+02	4.74399e-02	6.70000e-01
4.69473e+02	4.78517e-02	6.70000e-01
4.73445e+02	4.82634e-02	6.70000e-01
4.77677e+02	4.86752e-02	6.70000e-01
4.81597e+02	4.90869e-02	6.70000e-01
4.85549e+02	4.94987e-02	6.70000e-01
4.89524e+02	4.99105e-02	6.70000e-01
4.93445e+02	5.03222e-02	6.70000e-01
4.97358e+02	5.07340e-02	6.70000e-01
5.01281e+02	5.11457e-02	6.70000e-01
5.05287e+02	5.15575e-02	6.70000e-01
5.09146e+02	5.19692e-02	6.70000e-01
5.13097e+02	5.23810e-02	6.70000e-01
5.17096e+02	5.27927e-02	6.70000e-01
5.20777e+02	5.32045e-02	6.70000e-01
5.24555e+02	5.36162e-02	6.70000e-01
5.28429e+02	5.40280e-02	6.70000e-01
5.32296e+02	5.44397e-02	6.70000e-01
5.36161e+02	5.48515e-02	6.70000e-01
5.39917e+02	5.52633e-02	6.70000e-01
5.43584e+02	5.56750e-02	6.70000e-01
5.47239e+02	5.60868e-02	6.70000e-01
5.51028e+02	5.64985e-02	6.70000e-01
5.54915e+02	5.69103e-02	6.70000e-01
5.58597e+02	5.73220e-02	6.70000e-01
5.62139e+02	5.77338e-02	6.70000e-01
5.65819e+02	5.81455e-02	6.70000e-01
5.69620e+02	5.85573e-02	6.70000e-01
5.73217e+02	5.89690e-02	6.70000e-01
5.76882e+02	5.93808e-02	6.70000e-01
5.80524e+02	5.97925e-02	6.70000e-01
5.84114e+02	6.02043e-02	6.70000e-01
5.87623e+02	6.06161e-02	6.70000e-01
5.91215e+02	6.10278e-02	6.70000e-01
5.94827e+02	6.14396e-02	6.70000e-01
5.98388e+02	6.18513e-02	6.70000e-01
6.01873e+02	6.22631e-02	6.70000e-01
6.05433e+02	6.26748e-02	6.70000e-01
6.08918e+02	6.30866e-02	6.70000e-01
6.12338e+02	6.34983e-02	6.70000e-01
6.15756e+02	6.39101e-02	6.70000e-01
6.19248e+02	6.43218e-02	6.70000e-01
6.22790e+02	6.47336e-02	6.70000e-01
