# Isoelastics for elastic spheres deformed
# in a microfluidic channel.
#
# A description of the underlying theory can be found here:
#
#   Numerical Simulation of Real-Time Deformability Cytometry
#   to Extract Cell Mechanical Properties
#   M. Mokbel, D. Mokbel, A. Mietke, N. Träber, S. Girardo,
#   O. Otto, J. Guck, and S. Aland
#   ACS Biomaterials Science & Engineering 3(11) 2017
#   DOI: 10.1021/acsbiomaterials.6b00558
#
# These data were generated by linear interpolation of a look-up 
# table of numerically simulated values. 
# The simulations were performed by S. Aland, D. Mokbel.
# The look-up table was assembled by S. Aland, D. Mokbel, C. Herold.
# The interpolation was performed by C. Herold
#
# - column 1: area_um
# - column 2: deform
# - column 3: emodulus
# - channel width [um]: 20
# - flow rate [ul/s]: 0.04
# - viscosity [mPa*s]: 15
# - method: numerical
# - method details: FEM
#
# apparent_area_um^2 deformation elastic_modulus_kPa
2.72209e+02 3.93614e-02 5.40
2.71153e+02 3.90000e-02 5.40
2.70233e+02 3.86923e-02 5.40
2.68256e+02 3.80082e-02 5.40
2.68232e+02 3.80000e-02 5.40
2.66279e+02 3.73479e-02 5.40
2.65275e+02 3.70000e-02 5.40
2.64302e+02 3.66719e-02 5.40
2.62328e+02 3.60000e-02 5.40
2.62326e+02 3.59992e-02 5.40
2.60349e+02 3.53190e-02 5.40
2.59398e+02 3.50000e-02 5.40
2.58372e+02 3.46603e-02 5.40
2.56395e+02 3.40027e-02 5.40
2.56387e+02 3.40000e-02 5.40
2.54419e+02 3.33655e-02 5.40
2.53300e+02 3.30000e-02 5.40
2.52442e+02 3.27280e-02 5.40
2.50465e+02 3.21038e-02 5.40
2.50135e+02 3.20000e-02 5.40
2.48488e+02 3.15027e-02 5.40
2.46874e+02 3.10000e-02 5.40
2.46512e+02 3.08912e-02 5.40
2.44535e+02 3.02746e-02 5.40
2.43671e+02 3.00000e-02 5.40
2.42558e+02 2.96580e-02 5.40
2.40581e+02 2.90249e-02 5.40
2.40501e+02 2.90000e-02 5.40
2.38605e+02 2.84346e-02 5.40
2.37177e+02 2.80000e-02 5.40
2.36628e+02 2.78386e-02 5.40
2.34651e+02 2.72659e-02 5.40
2.33770e+02 2.70000e-02 5.40
2.32674e+02 2.66836e-02 5.40
2.30698e+02 2.61199e-02 5.40
2.30288e+02 2.60000e-02 5.40
2.28721e+02 2.55563e-02 5.40
2.26749e+02 2.50000e-02 5.40
2.26744e+02 2.49988e-02 5.40
2.24767e+02 2.44620e-02 5.40
2.23039e+02 2.40000e-02 5.40
2.22791e+02 2.39375e-02 5.40
2.20814e+02 2.34232e-02 5.40
2.19279e+02 2.30000e-02 5.40
2.18837e+02 2.28849e-02 5.40
2.16860e+02 2.23785e-02 5.40
2.15436e+02 2.20000e-02 5.40
2.14884e+02 2.18607e-02 5.40
2.12907e+02 2.13312e-02 5.40
2.11668e+02 2.10000e-02 5.40
2.10930e+02 2.08119e-02 5.40
2.08953e+02 2.03367e-02 5.40
2.07530e+02 2.00000e-02 5.40
2.06977e+02 1.98753e-02 5.40
2.05000e+02 1.94399e-02 5.40
2.03133e+02 1.90000e-02 5.40
2.03023e+02 1.89759e-02 5.40
2.01047e+02 1.85367e-02 5.40
1.99070e+02 1.80925e-02 5.40
