# These analytical isoelasticity lines were created using the original
# Matlab scripts by Alexander Mietke. The model computations take into
# account the equivalent channel radius for a square channel using the
# factor 1.094 (see supplement S3).
# 
# BEGIN METADATA
# {
#   "authors": "A. Mietke, C. Herold, J. Guck",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "date": "2018-01-30",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_viscosity": 15.0,
#   "fluid_viscosity_unit": "mPa s",
#   "lut identifier": "LE-2D-ana-18",
#   "method": "analytical",
#   "model": "linear elastic",
#   "publication": "https://doi.org/10.1016/j.bpj.2015.09.006",
#   "software": "custom Matlab code",
#   "summary": "2D-axis-symmetric analytical solution for a linear elastic sphere"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
4.27442e+01	1.87905e-02	1.67000e+00
4.38823e+01	1.93289e-02	1.67000e+00
4.50198e+01	1.98703e-02	1.67000e+00
4.61568e+01	2.04147e-02	1.67000e+00
4.72931e+01	2.09622e-02	1.67000e+00
4.84288e+01	2.15129e-02	1.67000e+00
4.95638e+01	2.20670e-02	1.67000e+00
5.06982e+01	2.26245e-02	1.67000e+00
5.18320e+01	2.31855e-02	1.67000e+00
5.29650e+01	2.37502e-02	1.67000e+00
5.40973e+01	2.43185e-02	1.67000e+00
5.52290e+01	2.48908e-02	1.67000e+00
5.63599e+01	2.54669e-02	1.67000e+00
5.74900e+01	2.60470e-02	1.67000e+00
5.86194e+01	2.66313e-02	1.67000e+00
5.97480e+01	2.72199e-02	1.67000e+00
6.08758e+01	2.78127e-02	1.67000e+00
6.20028e+01	2.84101e-02	1.67000e+00
6.31289e+01	2.90120e-02	1.67000e+00
6.42543e+01	2.96185e-02	1.67000e+00
3.75851e+00	1.12332e-03	1.99000e+00
4.91258e+00	1.46856e-03	1.99000e+00
6.06638e+00	1.81391e-03	1.99000e+00
7.21989e+00	2.15944e-03	1.99000e+00
8.37313e+00	2.50516e-03	1.99000e+00
9.52610e+00	2.85113e-03	1.99000e+00
1.06788e+01	3.19739e-03	1.99000e+00
1.18312e+01	3.54398e-03	1.99000e+00
1.29833e+01	3.89096e-03	1.99000e+00
1.41351e+01	4.23837e-03	1.99000e+00
1.52867e+01	4.58627e-03	1.99000e+00
1.64380e+01	4.93471e-03	1.99000e+00
1.75889e+01	5.28374e-03	1.99000e+00
1.87396e+01	5.63341e-03	1.99000e+00
1.98900e+01	5.98380e-03	1.99000e+00
2.10401e+01	6.33494e-03	1.99000e+00
2.21899e+01	6.68690e-03	1.99000e+00
2.33394e+01	7.03973e-03	1.99000e+00
2.44886e+01	7.39351e-03	1.99000e+00
2.56375e+01	7.74828e-03	1.99000e+00
2.67860e+01	8.10410e-03	1.99000e+00
2.79343e+01	8.46105e-03	1.99000e+00
2.90822e+01	8.81917e-03	1.99000e+00
3.02297e+01	9.17854e-03	1.99000e+00
3.13770e+01	9.53921e-03	1.99000e+00
3.25239e+01	9.90125e-03	1.99000e+00
3.36705e+01	1.02647e-02	1.99000e+00
3.48167e+01	1.06297e-02	1.99000e+00
3.59625e+01	1.09962e-02	1.99000e+00
3.71080e+01	1.13644e-02	1.99000e+00
3.82531e+01	1.17342e-02	1.99000e+00
3.93978e+01	1.21059e-02	1.99000e+00
4.05422e+01	1.24793e-02	1.99000e+00
4.16862e+01	1.28546e-02	1.99000e+00
4.28297e+01	1.32319e-02	1.99000e+00
4.39729e+01	1.36112e-02	1.99000e+00
4.51156e+01	1.39926e-02	1.99000e+00
4.62579e+01	1.43762e-02	1.99000e+00
4.73998e+01	1.47620e-02	1.99000e+00
4.85412e+01	1.51501e-02	1.99000e+00
4.96822e+01	1.55406e-02	1.99000e+00
5.08227e+01	1.59336e-02	1.99000e+00
5.19627e+01	1.63290e-02	1.99000e+00
5.31023e+01	1.67271e-02	1.99000e+00
5.42414e+01	1.71278e-02	1.99000e+00
5.53799e+01	1.75312e-02	1.99000e+00
5.65180e+01	1.79375e-02	1.99000e+00
5.76555e+01	1.83466e-02	1.99000e+00
5.87925e+01	1.87587e-02	1.99000e+00
5.99290e+01	1.91738e-02	1.99000e+00
6.10648e+01	1.95921e-02	1.99000e+00
6.22001e+01	2.00135e-02	1.99000e+00
6.33349e+01	2.04382e-02	1.99000e+00
6.44690e+01	2.08662e-02	1.99000e+00
6.56025e+01	2.12977e-02	1.99000e+00
6.67354e+01	2.17327e-02	1.99000e+00
6.78676e+01	2.21712e-02	1.99000e+00
6.89992e+01	2.26134e-02	1.99000e+00
7.01301e+01	2.30594e-02	1.99000e+00
7.12603e+01	2.35092e-02	1.99000e+00
7.23898e+01	2.39630e-02	1.99000e+00
7.35186e+01	2.44207e-02	1.99000e+00
7.46467e+01	2.48826e-02	1.99000e+00
7.57740e+01	2.53486e-02	1.99000e+00
7.69005e+01	2.58189e-02	1.99000e+00
7.80263e+01	2.62936e-02	1.99000e+00
7.91512e+01	2.67727e-02	1.99000e+00
8.02753e+01	2.72564e-02	1.99000e+00
8.13986e+01	2.77447e-02	1.99000e+00
8.25210e+01	2.82378e-02	1.99000e+00
8.36426e+01	2.87357e-02	1.99000e+00
8.47632e+01	2.92386e-02	1.99000e+00
8.58829e+01	2.97464e-02	1.99000e+00
3.75897e+00	7.72298e-04	2.40000e+00
4.91336e+00	1.00963e-03	2.40000e+00
6.06756e+00	1.24705e-03	2.40000e+00
7.22157e+00	1.48457e-03	2.40000e+00
8.37539e+00	1.72223e-03	2.40000e+00
9.52903e+00	1.96006e-03	2.40000e+00
1.06825e+01	2.19808e-03	2.40000e+00
1.18357e+01	2.43633e-03	2.40000e+00
1.29888e+01	2.67484e-03	2.40000e+00
1.41416e+01	2.91364e-03	2.40000e+00
1.52943e+01	3.15278e-03	2.40000e+00
1.64468e+01	3.39228e-03	2.40000e+00
1.75990e+01	3.63219e-03	2.40000e+00
1.87511e+01	3.87254e-03	2.40000e+00
1.99029e+01	4.11338e-03	2.40000e+00
2.10546e+01	4.35474e-03	2.40000e+00
2.22061e+01	4.59666e-03	2.40000e+00
2.33573e+01	4.83918e-03	2.40000e+00
2.45083e+01	5.08234e-03	2.40000e+00
2.56592e+01	5.32620e-03	2.40000e+00
2.68098e+01	5.57077e-03	2.40000e+00
2.79601e+01	5.81612e-03	2.40000e+00
2.91103e+01	6.06228e-03	2.40000e+00
3.02602e+01	6.30930e-03	2.40000e+00
3.14099e+01	6.55722e-03	2.40000e+00
3.25594e+01	6.80608e-03	2.40000e+00
3.37086e+01	7.05593e-03	2.40000e+00
3.48576e+01	7.30681e-03	2.40000e+00
3.60063e+01	7.55877e-03	2.40000e+00
3.71548e+01	7.81185e-03	2.40000e+00
3.83031e+01	8.06610e-03	2.40000e+00
3.94510e+01	8.32157e-03	2.40000e+00
4.05988e+01	8.57830e-03	2.40000e+00
4.17462e+01	8.83634e-03	2.40000e+00
4.28934e+01	9.09573e-03	2.40000e+00
4.40402e+01	9.35652e-03	2.40000e+00
