# These isoelasticity lines were interpolated from a volume-deformation
# look-up table which was extracted from FEM data and complemented with
# analytical data (https://doi.org/10.6084/m9.figshare.12155064.v3 with
# scripts/fem2iso_volume.py). An equivalent channel radius for a square
# channel (factor of 1.094) is used in the 2D axis-symmetric model (see
# also supplement S3 in https://doi.org/10.1016/j.bpj.2015.09.006).
#
# BEGIN METADATA
# {
#   "authors": "D. Mokbel, M. Mokbel, L.D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "commit_hash": "43f37eaa",
#   "date": "2019-11-13",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_viscosity": 15.0,
#   "fluid_viscosity_unit": "mPa s",
#   "lut identifier": "LE-2D-FEM-19",
#   "method": "FEM",
#   "model": "linear elastic",
#   "publication": "https://doi.org/10.1021/acsbiomaterials.6b00558",
#   "software": "custom C++ code",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "2D-axis-symmetric FEM simulation with a linear elastic model"
# }
# END METADATA
#
# volume [um^3]	deform	emodulus [kPa]
5.23367e+02	7.42314e-02	1.36000e+00
5.28389e+02	7.51948e-02	1.36000e+00
5.38425e+02	7.71216e-02	1.36000e+00
5.43397e+02	7.80850e-02	1.36000e+00
5.53455e+02	8.00118e-02	1.36000e+00
5.57826e+02	8.09752e-02	1.36000e+00
5.67689e+02	8.29020e-02	1.36000e+00
5.73028e+02	8.39560e-02	1.36000e+00
5.81634e+02	8.57922e-02	1.36000e+00
5.88258e+02	8.71540e-02	1.36000e+00
5.95399e+02	8.86824e-02	1.36000e+00
6.03487e+02	9.04427e-02	1.36000e+00
6.08676e+02	9.15725e-02	1.36000e+00
6.16703e+02	9.34993e-02	1.36000e+00
6.20744e+02	9.44627e-02	1.36000e+00
6.28729e+02	9.63895e-02	1.36000e+00
6.33947e+02	9.77660e-02	1.36000e+00
6.39987e+02	9.92797e-02	1.36000e+00
6.47694e+02	1.01206e-01	1.36000e+00
6.51076e+02	1.02170e-01	1.36000e+00
6.58034e+02	1.04097e-01	1.36000e+00
6.64407e+02	1.05805e-01	1.36000e+00
6.68633e+02	1.06987e-01	1.36000e+00
6.74965e+02	1.08914e-01	1.36000e+00
6.79637e+02	1.10325e-01	1.36000e+00
6.84570e+02	1.11804e-01	1.36000e+00
6.91127e+02	1.13731e-01	1.36000e+00
6.94867e+02	1.14811e-01	1.36000e+00
7.00823e+02	1.16621e-01	1.36000e+00
7.06733e+02	1.18548e-01	1.36000e+00
7.10097e+02	1.19697e-01	1.36000e+00
7.15148e+02	1.21438e-01	1.36000e+00
7.20777e+02	1.23365e-01	1.36000e+00
7.25327e+02	1.24897e-01	1.36000e+00
7.30500e+02	1.26255e-01	1.36000e+00
7.39679e+02	1.28182e-01	1.36000e+00
7.44269e+02	1.29145e-01	1.36000e+00
7.53449e+02	1.31072e-01	1.36000e+00
7.58038e+02	1.32035e-01	1.36000e+00
7.67681e+02	1.33962e-01	1.36000e+00
7.73412e+02	1.34925e-01	1.36000e+00
7.85017e+02	1.36852e-01	1.36000e+00
7.90851e+02	1.37815e-01	1.36000e+00
8.01477e+02	1.39570e-01	1.36000e+00
8.08352e+02	1.40706e-01	1.36000e+00
8.16707e+02	1.42085e-01	1.36000e+00
8.25853e+02	1.43596e-01	1.36000e+00
8.31936e+02	1.44761e-01	1.36000e+00
8.39475e+02	1.46486e-01	1.36000e+00
8.47166e+02	1.48246e-01	1.36000e+00
8.52109e+02	1.49376e-01	1.36000e+00
8.60531e+02	1.51303e-01	1.36000e+00
8.64742e+02	1.52266e-01	1.36000e+00
8.73165e+02	1.54193e-01	1.36000e+00
8.77626e+02	1.55214e-01	1.36000e+00
8.85798e+02	1.57083e-01	1.36000e+00
8.92856e+02	1.58698e-01	1.36000e+00
8.98432e+02	1.59974e-01	1.36000e+00
9.06854e+02	1.61900e-01	1.36000e+00
9.11065e+02	1.62864e-01	1.36000e+00
9.19488e+02	1.64791e-01	1.36000e+00
9.23699e+02	1.65754e-01	1.36000e+00
9.32121e+02	1.67681e-01	1.36000e+00
9.38546e+02	1.69151e-01	1.36000e+00
1.61819e+02	1.70483e-02	1.64000e+00
1.77049e+02	1.81570e-02	1.64000e+00
1.92279e+02	1.92933e-02	1.64000e+00
2.05074e+02	2.02813e-02	1.64000e+00
2.17671e+02	2.12447e-02	1.64000e+00
2.31037e+02	2.22081e-02	1.64000e+00
2.44621e+02	2.31715e-02	1.64000e+00
2.57435e+02	2.41349e-02	1.64000e+00
2.69214e+02	2.50983e-02	1.64000e+00
2.83659e+02	2.61903e-02	1.64000e+00
2.98889e+02	2.73411e-02	1.64000e+00
3.14119e+02	2.84701e-02	1.64000e+00
3.29349e+02	2.96198e-02	1.64000e+00
3.44579e+02	3.07792e-02	1.64000e+00
3.59318e+02	3.18421e-02	1.64000e+00
3.70378e+02	3.28055e-02	1.64000e+00
3.82676e+02	3.37689e-02	1.64000e+00
3.94779e+02	3.47323e-02	1.64000e+00
4.07271e+02	3.56956e-02	1.64000e+00
4.20728e+02	3.67872e-02	1.64000e+00
4.35958e+02	3.80171e-02	1.64000e+00
4.51188e+02	3.92300e-02	1.64000e+00
4.66418e+02	4.04893e-02	1.64000e+00
4.78057e+02	4.14760e-02	1.64000e+00
4.88918e+02	4.24394e-02	1.64000e+00
4.99656e+02	4.34028e-02	1.64000e+00
5.12108e+02	4.45141e-02	1.64000e+00
5.27338e+02	4.59369e-02	1.64000e+00
5.41188e+02	4.72564e-02	1.64000e+00
5.51429e+02	4.82198e-02	1.64000e+00
5.61617e+02	4.91832e-02	1.64000e+00
5.73028e+02	5.02873e-02	1.64000e+00
5.88258e+02	5.17427e-02	1.64000e+00
6.01813e+02	5.30368e-02	1.64000e+00
6.11167e+02	5.40001e-02	1.64000e+00
6.20672e+02	5.49635e-02	1.64000e+00
6.33947e+02	5.63962e-02	1.64000e+00
6.47404e+02	5.78537e-02	1.64000e+00
6.56565e+02	5.88171e-02	1.64000e+00
6.65255e+02	5.97805e-02	1.64000e+00
6.79637e+02	6.13604e-02	1.64000e+00
6.91130e+02	6.26707e-02	1.64000e+00
6.99472e+02	6.36341e-02	1.64000e+00
7.10097e+02	6.48763e-02	1.64000e+00
7.24251e+02	6.65243e-02	1.64000e+00
7.32105e+02	6.74877e-02	1.64000e+00
7.40557e+02	6.85133e-02	1.64000e+00
7.55558e+02	7.03779e-02	1.64000e+00
7.63205e+02	7.13413e-02	1.64000e+00
7.71017e+02	7.23700e-02	1.64000e+00
7.84701e+02	7.42314e-02	1.64000e+00
7.91965e+02	7.51948e-02	1.64000e+00
8.01477e+02	7.64232e-02	1.64000e+00
8.13974e+02	7.80850e-02	1.64000e+00
8.20642e+02	7.90484e-02	1.64000e+00
8.31936e+02	8.06563e-02	1.64000e+00
8.40976e+02	8.19386e-02	1.64000e+00
8.47664e+02	8.29020e-02	1.64000e+00
8.60818e+02	8.48288e-02	1.64000e+00
8.67090e+02	8.57922e-02	1.64000e+00
8.77626e+02	8.74036e-02	1.64000e+00
8.85883e+02	8.86824e-02	1.64000e+00
8.92856e+02	8.97829e-02	1.64000e+00
9.04268e+02	9.15725e-02	1.64000e+00
9.10179e+02	9.25359e-02	1.64000e+00
9.22268e+02	9.44627e-02	1.64000e+00
