# Isoelastics for elastic spheres deformed
# in a microfluidic channel.
#
# A description of the underlying theory can be found here:
#
#   Extracting Cell Stiffness from Real-Time Deformability
#   Cytometry: Theory and Experiment
#   A. Mietke, O. Otto, S. Girardo, P. Rosendahl,
#   A. Taubenberger, S. Golfier, E. Ulbricht,
#   S. Aland, J. Guck, E. Fischer-Friedrich
#   Biophysical Journal 109(10) 2015
#   DOI: 10.1016/j.bpj.2015.09.006
#
# These data were generated using a Matlab script
# written by Alexander Mietke.
#
# - column 1: area_um
# - column 2: deform
# - column 3: emodulus
# - channel width [um]: 20
# - flow rate [ul/s]: 0.04
# - viscosity [mPa*s]: 15
# - method: analytical
# - method details: squared channel, convex hull
#
# apparent_area_um^2 deformation elastic_modulus_kPa
1.5116104e+02 5.9299474e-03 6.90
1.5230405e+02 6.0202929e-03 6.90
1.5344676e+02 6.1121154e-03 6.90
1.5458917e+02 6.2054495e-03 6.90
1.5573127e+02 6.3003306e-03 6.90
1.5687304e+02 6.3967953e-03 6.90
1.5801450e+02 6.4948811e-03 6.90
1.5915561e+02 6.5946267e-03 6.90
1.6029638e+02 6.6960718e-03 6.90
1.6143680e+02 6.7992573e-03 6.90
1.6257686e+02 6.9042254e-03 6.90
1.6371655e+02 7.0110195e-03 6.90
1.6485585e+02 7.1196841e-03 6.90
1.6599477e+02 7.2302653e-03 6.90
1.6713328e+02 7.3428105e-03 6.90
1.6827139e+02 7.4573684e-03 6.90
1.6940907e+02 7.5739893e-03 6.90
1.7054632e+02 7.6927252e-03 6.90
1.7168312e+02 7.8136293e-03 6.90
1.7281947e+02 7.9367568e-03 6.90
1.7395535e+02 8.0621644e-03 6.90
1.7509075e+02 8.1899108e-03 6.90
1.7622565e+02 8.3200564e-03 6.90
1.7736005e+02 8.4526634e-03 6.90
1.7849393e+02 8.5877963e-03 6.90
1.7962727e+02 8.7255213e-03 6.90
1.8076006e+02 8.8659070e-03 6.90
1.8189229e+02 9.0090243e-03 6.90
1.8302394e+02 9.1549460e-03 6.90
1.8415499e+02 9.3037478e-03 6.90
1.8528543e+02 9.4555076e-03 6.90
1.8641524e+02 9.6103059e-03 6.90
1.8754440e+02 9.7682260e-03 6.90
1.8867289e+02 9.9293540e-03 6.90
1.8980070e+02 1.0093779e-02 6.90
1.9092780e+02 1.0261593e-02 6.90
1.9205418e+02 1.0432890e-02 6.90
1.9317982e+02 1.0607771e-02 6.90
1.9430469e+02 1.0786335e-02 6.90
1.9542876e+02 1.0968690e-02 6.90
1.9655203e+02 1.1154943e-02 6.90
1.9767446e+02 1.1345209e-02 6.90
1.9879602e+02 1.1539604e-02 6.90
1.9991670e+02 1.1738249e-02 6.90
2.0103647e+02 1.1941270e-02 6.90
2.0215530e+02 1.2148798e-02 6.90
2.0327316e+02 1.2360967e-02 6.90
2.0439001e+02 1.2577917e-02 6.90
2.0550584e+02 1.2799793e-02 6.90
2.0662061e+02 1.3026746e-02 6.90
2.0773429e+02 1.3258933e-02 6.90
2.0884684e+02 1.3496515e-02 6.90
2.0995823e+02 1.3739660e-02 6.90
2.1106841e+02 1.3988544e-02 6.90
2.1217736e+02 1.4243347e-02 6.90
2.1328504e+02 1.4504259e-02 6.90
2.1439140e+02 1.4771475e-02 6.90
2.1549639e+02 1.5045199e-02 6.90
2.1659999e+02 1.5325643e-02 6.90
2.1770214e+02 1.5613027e-02 6.90
2.1880278e+02 1.5907579e-02 6.90
2.1990189e+02 1.6209539e-02 6.90
2.2099939e+02 1.6519154e-02 6.90
2.2209525e+02 1.6836682e-02 6.90
2.2318940e+02 1.7162392e-02 6.90
2.2428178e+02 1.7496565e-02 6.90
2.2537234e+02 1.7839492e-02 6.90
2.2646102e+02 1.8191476e-02 6.90
2.2754774e+02 1.8552836e-02 6.90
2.2863244e+02 1.8923902e-02 6.90
2.2971505e+02 1.9305018e-02 6.90
2.3079550e+02 1.9696545e-02 6.90
2.3187370e+02 2.0098858e-02 6.90
2.3294959e+02 2.0512349e-02 6.90
2.3402307e+02 2.0937427e-02 6.90
2.3509405e+02 2.1374522e-02 6.90
2.3616245e+02 2.1824079e-02 6.90
2.3722818e+02 2.2286566e-02 6.90
2.3829112e+02 2.2762472e-02 6.90
2.3935119e+02 2.3252308e-02 6.90
2.4040826e+02 2.3756610e-02 6.90
2.4146223e+02 2.4275936e-02 6.90
2.4251298e+02 2.4810874e-02 6.90
2.4356038e+02 2.5362037e-02 6.90
2.4460430e+02 2.5930069e-02 6.90
2.4564461e+02 2.6515644e-02 6.90
2.4668116e+02 2.7119469e-02 6.90
2.4771433e+02 2.7741233e-02 6.90
2.4874528e+02 2.8379162e-02 6.90
2.4977466e+02 2.9032431e-02 6.90
2.5080298e+02 2.9700571e-02 6.90
3.7597725e+00 1.5259600e-04 5.40
4.9147329e+00 1.9947020e-04 5.40
6.0696558e+00 2.4635900e-04 5.40
7.2245413e+00 2.9326744e-04 5.40
8.3793892e+00 3.4020099e-04 5.40
9.5341994e+00 3.8716548e-04 5.40
1.0688972e+01 4.3416704e-04 5.40
1.1843706e+01 4.8121210e-04 5.40
1.2998402e+01 5.2830733e-04 5.40
1.4153060e+01 5.7545962e-04 5.40
1.5307679e+01 6.2267606e-04 5.40
1.6462259e+01 6.6996395e-04 5.40
1.7616800e+01 7.1733071e-04 5.40
1.8771301e+01 7.6478396e-04 5.40
1.9925762e+01 8.1233144e-04 5.40
2.1080183e+01 8.5998100e-04 5.40
2.2234563e+01 9.0774066e-04 5.40
2.3388902e+01 9.5561849e-04 5.40
2.4543199e+01 1.0036227e-03 5.40
2.5697453e+01 1.0517617e-03 5.40
2.6851665e+01 1.1000437e-03 5.40
2.8005833e+01 1.1484773e-03 5.40
2.9159957e+01 1.1970711e-03 5.40
3.0314037e+01 1.2458336e-03 5.40
3.1468070e+01 1.2947737e-03 5.40
3.2622058e+01 1.3439001e-03 5.40
3.3775998e+01 1.3932217e-03 5.40
3.4929891e+01 1.4427475e-03 5.40
3.6083735e+01 1.4924864e-03 5.40
3.7237530e+01 1.5424476e-03 5.40
3.8391275e+01 1.5926402e-03 5.40
3.9544967e+01 1.6430734e-03 5.40
4.0698608e+01 1.6937565e-03 5.40
4.1852195e+01 1.7446990e-03 5.40
4.3005728e+01 1.7959101e-03 5.40
4.4159206e+01 1.8473995e-03 5.40
4.5312627e+01 1.8991766e-03 5.40
4.6465990e+01 1.9512513e-03 5.40
4.7619295e+01 2.0036331e-03 5.40
4.8772539e+01 2.0563319e-03 5.40
4.9925721e+01 2.1093576e-03 5.40
5.1078841e+01 2.1627202e-03 5.40
5.2231897e+01 2.2164297e-03 5.40
5.3384888e+01 2.2704963e-03 5.40
5.4537812e+01 2.3249302e-03 5.40
5.5690667e+01 2.3797417e-03 5.40
5.6843452e+01 2.4349414e-03 5.40
5.7996166e+01 2.4905396e-03 5.40
5.9148807e+01 2.5465471e-03 5.40
6.0301374e+01 2.6029745e-03 5.40
6.1453864e+01 2.6598329e-03 5.40
6.2606276e+01 2.7171331e-03 5.40
6.3758609e+01 2.7748862e-03 5.40
6.4910860e+01 2.8331035e-03 5.40
6.6063028e+01 2.8917962e-03 5.40
6.7215110e+01 2.9509760e-03 5.40
6.8367105e+01 3.0106545e-03 5.40
6.9519011e+01 3.0708433e-03 5.40
7.0670826e+01 3.1315544e-03 5.40
7.1822547e+01 3.1928000e-03 5.40
7.2974173e+01 3.2545922e-03 5.40
7.4125701e+01 3.3169435e-03 5.40
7.5277130e+01 3.3798663e-03 5.40
7.6428456e+01 3.4433736e-03 5.40
7.7579678e+01 3.5074782e-03 5.40
7.8730793e+01 3.5721932e-03 5.40
7.9881799e+01 3.6375320e-03 5.40
8.1032693e+01 3.7035082e-03 5.40
8.2183472e+01 3.7701353e-03 5.40
8.3334135e+01 3.8374275e-03 5.40
8.4484677e+01 3.9053989e-03 5.40
8.5635098e+01 3.9740639e-03 5.40
8.6785393e+01 4.0434371e-03 5.40
8.7935559e+01 4.1135335e-03 5.40
8.9085595e+01 4.1843683e-03 5.40
9.0235497e+01 4.2559568e-03 5.40
9.1385261e+01 4.3283148e-03 5.40
9.2534886e+01 4.4014582e-03 5.40
9.3684366e+01 4.4754033e-03 5.40
9.4833700e+01 4.5501667e-03 5.40
9.5982884e+01 4.6257652e-03 5.40
9.7131914e+01 4.7022161e-03 5.40
9.8280786e+01 4.7795368e-03 5.40
9.9429498e+01 4.8577453e-03 5.40
1.0057805e+02 4.9368598e-03 5.40
1.0172642e+02 5.0168988e-03 5.40
1.0287463e+02 5.0978813e-03 5.40
1.0402266e+02 5.1798266e-03 5.40
1.0517051e+02 5.2627545e-03 5.40
1.0631818e+02 5.3466851e-03 5.40
1.0746566e+02 5.4316389e-03 5.40
1.0861294e+02 5.5176370e-03 5.40
1.0976003e+02 5.6047007e-03 5.40
1.1090691e+02 5.6928521e-03 5.40
1.1205359e+02 5.7821135e-03 5.40
1.1320006e+02 5.8725077e-03 5.40
1.1434631e+02 5.9640581e-03 5.40
1.1549234e+02 6.0567887e-03 5.40
1.1663814e+02 6.1507238e-03 5.40
1.1778371e+02 6.2458884e-03 5.40
1.1892904e+02 6.3423081e-03 5.40
1.2007413e+02 6.4400091e-03 5.40
1.2121898e+02 6.5390181e-03 5.40
1.2236356e+02 6.6393625e-03 5.40
1.2350789e+02 6.7410703e-03 5.40
1.2465195e+02 6.8441702e-03 5.40
1.2579574e+02 6.9486915e-03 5.40
1.2693925e+02 7.0546644e-03 5.40
1.2808248e+02 7.1621198e-03 5.40
1.2922541e+02 7.2710890e-03 5.40
1.3036804e+02 7.3816046e-03 5.40
1.3151037e+02 7.4936995e-03 5.40
1.3265238e+02 7.6074080e-03 5.40
1.3379407e+02 7.7227646e-03 5.40
1.3493543e+02 7.8398052e-03 5.40
1.3607646e+02 7.9585664e-03 5.40
1.3721714e+02 8.0790856e-03 5.40
1.3835747e+02 8.2014015e-03 5.40
1.3949744e+02 8.3255536e-03 5.40
1.4063703e+02 8.4515823e-03 5.40
1.4177625e+02 8.5795294e-03 5.40
1.4291508e+02 8.7094375e-03 5.40
1.4405351e+02 8.8413504e-03 5.40
1.4519153e+02 8.9753132e-03 5.40
1.4632914e+02 9.1113722e-03 5.40
1.4746632e+02 9.2495747e-03 5.40
1.4860306e+02 9.3899696e-03 5.40
1.4973935e+02 9.5326070e-03 5.40
1.5087517e+02 9.6775383e-03 5.40
1.5201053e+02 9.8248165e-03 5.40
1.5314541e+02 9.9744960e-03 5.40
1.5427979e+02 1.0126633e-02 5.40
1.5541366e+02 1.0281284e-02 5.40
1.5654701e+02 1.0438509e-02 5.40
1.5767982e+02 1.0598369e-02 5.40
1.5881209e+02 1.0760925e-02 5.40
1.5994379e+02 1.0926243e-02 5.40
1.6107492e+02 1.1094389e-02 5.40
1.6220546e+02 1.1265431e-02 5.40
1.6333540e+02 1.1439439e-02 5.40
1.6446471e+02 1.1616485e-02 5.40
1.6559339e+02 1.1796644e-02 5.40
1.6672141e+02 1.1979991e-02 5.40
1.6784876e+02 1.2166607e-02 5.40
1.6897542e+02 1.2356573e-02 5.40
1.7010137e+02 1.2549971e-02 5.40
1.7122660e+02 1.2746889e-02 5.40
1.7235108e+02 1.2947415e-02 5.40
1.7347480e+02 1.3151641e-02 5.40
1.7459773e+02 1.3359662e-02 5.40
1.7571986e+02 1.3571575e-02 5.40
1.7684116e+02 1.3787481e-02 5.40
1.7796161e+02 1.4007484e-02 5.40
1.7908118e+02 1.4231690e-02 5.40
1.8019986e+02 1.4460210e-02 5.40
1.8131762e+02 1.4693158e-02 5.40
1.8243443e+02 1.4930653e-02 5.40
1.8355026e+02 1.5172815e-02 5.40
1.8466510e+02 1.5419770e-02 5.40
1.8577890e+02 1.5671649e-02 5.40
1.8689165e+02 1.5928584e-02 5.40
1.8800331e+02 1.6190715e-02 5.40
1.8911385e+02 1.6458184e-02 5.40
1.9022324e+02 1.6731141e-02 5.40
1.9133145e+02 1.7009737e-02 5.40
1.9243844e+02 1.7294131e-02 5.40
1.9354418e+02 1.7584487e-02 5.40
1.9464862e+02 1.7880974e-02 5.40
1.9575175e+02 1.8183768e-02 5.40
1.9685350e+02 1.8493049e-02 5.40
1.9795385e+02 1.8809007e-02 5.40
1.9905275e+02 1.9131834e-02 5.40
2.0015017e+02 1.9461734e-02 5.40
2.0124604e+02 1.9798914e-02 5.40
2.0234033e+02 2.0143590e-02 5.40
2.0343300e+02 2.0495987e-02 5.40
2.0452398e+02 2.0856337e-02 5.40
2.0561323e+02 2.1224881e-02 5.40
2.0670070e+02 2.1601869e-02 5.40
2.0778632e+02 2.1987559e-02 5.40
2.0887005e+02 2.2382221e-02 5.40
2.0995182e+02 2.2786133e-02 5.40
2.1103157e+02 2.3199585e-02 5.40
2.1210924e+02 2.3622877e-02 5.40
2.1318476e+02 2.4056323e-02 5.40
2.1425806e+02 2.4500245e-02 5.40
2.1532906e+02 2.4954982e-02 5.40
2.1639770e+02 2.5420882e-02 5.40
2.1746390e+02 2.5898311e-02 5.40
2.1852757e+02 2.6387646e-02 5.40
2.1958864e+02 2.6889280e-02 5.40
2.2064701e+02 2.7403625e-02 5.40
2.2170259e+02 2.7931104e-02 5.40
2.2275529e+02 2.8472162e-02 5.40
2.2380502e+02 2.9027260e-02 5.40
2.2485166e+02 2.9596879e-02 5.40
3.7596434e+00 2.5221013e-04 4.20
4.9145122e+00 3.2969787e-04 4.20
6.0693192e+00 4.0721021e-04 4.20
7.2240642e+00 4.8475549e-04 4.20
8.3787471e+00 5.6234273e-04 4.20
9.5333677e+00 6.3998157e-04 4.20
1.0687926e+01 7.1768214e-04 4.20
1.1842421e+01 7.9545505e-04 4.20
1.2996853e+01 8.7331133e-04 4.20
1.4151221e+01 9.5126235e-04 4.20
1.5305526e+01 1.0293198e-03 4.20
1.6459766e+01 1.1074958e-03 4.20
1.7613942e+01 1.1858026e-03 4.20
1.8768051e+01 1.2642527e-03 4.20
1.9922095e+01 1.3428590e-03 4.20
2.1076072e+01 1.4216343e-03 4.20
2.2229981e+01 1.5005920e-03 4.20
2.3383822e+01 1.5797454e-03 4.20
2.4537594e+01 1.6591080e-03 4.20
2.5691297e+01 1.7386936e-03 4.20
2.6844928e+01 1.8185159e-03 4.20
2.7998487e+01 1.8985892e-03 4.20
2.9151973e+01 1.9789274e-03 4.20
3.0305386e+01 2.0595448e-03 4.20
3.1458723e+01 2.1404559e-03 4.20
3.2611984e+01 2.2216752e-03 4.20
3.3765167e+01 2.3032174e-03 4.20
3.4918271e+01 2.3850971e-03 4.20
3.6071294e+01 2.4673293e-03 4.20
3.7224236e+01 2.5499290e-03 4.20
3.8377095e+01 2.6329113e-03 4.20
3.9529869e+01 2.7162913e-03 4.20
