# Elastic modulus look-up table for elastic spheres
# deformed in a microfluidic channel.
#
# A description of the underlying theory can be found here:
#
#   Numerical Simulation of Real-Time Deformability Cytometry
#   to Extract Cell Mechanical Properties
#   M. Mokbel, D. Mokbel, A. Mietke, N. Träber, S. Girardo,
#   O. Otto, J. Guck, and S. Aland
#   ACS Biomaterials Science & Engineering 3(11) 2017
#   DOI: 10.1021/acsbiomaterials.6b00558
#
# The simulations were performed by S. Aland, D. Mokbel.
# The look-up table was assembled by S. Aland, D. Mokbel, C. Herold.
#
# - column 1: area_um
# - column 2: deform
# - column 3: emodulus
# - channel width [um]: 20
# - flow rate [ul/s]: 0.04
# - viscosity [mPa*s]: 15
# - method: numerical
# - method details: FEM, linear elastic model
#
# apparent_area_um^2 deformation elastic_modulus_kPa
4.63286e+01 9.26100e-03 2.52036e+00
4.12204e+01 1.10170e-02 2.17667e+00
4.24719e+01 1.06220e-02 2.25305e+00
3.99876e+01 1.14300e-02 2.10030e+00
4.37428e+01 1.02440e-02 2.32942e+00
3.64035e+01 1.25970e-02 1.90936e+00
3.40971e+01 1.33590e-02 1.79480e+00
4.50318e+01 9.93100e-03 2.40579e+00
3.87775e+01 1.19340e-02 2.02392e+00
4.63393e+01 9.56200e-03 2.48217e+00
3.52428e+01 1.32560e-02 1.83299e+00
3.75869e+01 1.25170e-02 1.94755e+00
4.24827e+01 1.09970e-02 2.21486e+00
4.37533e+01 1.05930e-02 2.29123e+00
4.12316e+01 1.14200e-02 2.13848e+00
4.50420e+01 1.02590e-02 2.36761e+00
3.99992e+01 1.18650e-02 2.06211e+00
4.63491e+01 9.87000e-03 2.44398e+00
3.64161e+01 1.31260e-02 1.87117e+00
4.76757e+01 9.56200e-03 2.52036e+00
3.87896e+01 1.24050e-02 1.98574e+00
3.41101e+01 1.39560e-02 1.75661e+00
4.37644e+01 1.09610e-02 2.25305e+00
4.24941e+01 1.13920e-02 2.17667e+00
4.50526e+01 1.06030e-02 2.32942e+00
4.63595e+01 1.01920e-02 2.40579e+00
4.12434e+01 1.18470e-02 2.10030e+00
3.75997e+01 1.30330e-02 1.90936e+00
4.76872e+01 9.87400e-03 2.48217e+00
3.52559e+01 1.38360e-02 1.79480e+00
4.00114e+01 1.23250e-02 2.02392e+00
3.88024e+01 1.29060e-02 1.94755e+00
4.37761e+01 1.13480e-02 2.21486e+00
3.64295e+01 1.36900e-02 1.83299e+00
4.63704e+01 1.05290e-02 2.36761e+00
4.50639e+01 1.09640e-02 2.29123e+00
4.25062e+01 1.18100e-02 2.13848e+00
4.76978e+01 1.01930e-02 2.44398e+00
4.12560e+01 1.22980e-02 2.06211e+00
4.90379e+01 9.82100e-03 2.52036e+00
3.41239e+01 1.45940e-02 1.71842e+00
